index	phage_id	marker_hashes	rbp_hashes	rbp_length	shannon_entropy	n_unique_markers
0	GCA_022150005.1_41	8504d2418298a378d3d6c7a816baa300	2ef0dda9ee1d670f960d2880b9e250ed	495	0.0	1
1	GCA_022150005.1_63	8504d2418298a378d3d6c7a816baa300	a0200e3b1cf75de78a25ca455a66e5c4	386	0.0	1
2	GCA_025159095.1_1_fragment_15	41d13b714ef3cba45287fee7054a5b8c	f8b851665b736eb75406602d95585768	305	0.0	1
3	GCA_036866855.1_3_fragment_29	cc6a580b5a32088f45754d3859c6f10c	d8c28ddc1d6e621bfa5a055f465b1413	1607	0.0	1
4	GCA_036866855.1_3_fragment_11	cc6a580b5a32088f45754d3859c6f10c	f012fa790f40b7adf74de086866210d7	360	0.0	1
5	GCA_036866855.1_3_fragment_13	cc6a580b5a32088f45754d3859c6f10c	ead04bf8d95cd7bf38230f368e29aed3	413	0.0	1
6	GCA_036866855.1_3_fragment_8	cc6a580b5a32088f45754d3859c6f10c	e7f6390eb6f9da0a4f9f181fbd7180c7	1035	0.0	1
7	GCA_041853195.1_1_fragment_13	631dcd7a242ac35b9745fca0a7c30ee2	d6737fa3e2a305257ef51b251ff8fe37	225	0.0	1
8	GCA_041853195.1_1_fragment_16	631dcd7a242ac35b9745fca0a7c30ee2	ce649b62b75566405cd8d2bfae43271f	1085	0.0	1
9	GCA_041853195.1_1_fragment_5	631dcd7a242ac35b9745fca0a7c30ee2	3ccd444e90af7a567e520029a0056186	1447	0.0	1
10	GCA_003195955.1_22_fragment_2	05c2fcb6729759bd4a6625a8dae33dec	d0bc6c15dbcbd9015f4b534343de2373	1907	0.0	1
11	GCA_015284185.1_1_fragment_22,GCA_015286965.1_1_fragment_4,GCA_015289325.1_1_fragment_3	5d73032372dcbad002afef01d8d8c65f	d6737fa3e2a305257ef51b251ff8fe37	225	0.0	1
12	GCA_015284185.1_1_fragment_1	5d73032372dcbad002afef01d8d8c65f	6b43ba1feb85f25833b8036e93c51ed0	586	0.0	1
13	GCA_012393465.1_2_fragment_22,GCA_012393465.1_3_fragment_1	ee16e57e60d9d277004a91646389a791	710efb6092d1a52c2e337e3134b15912	975	0.0	1
14	GCA_012393465.1_2_fragment_20,GCA_012393465.1_4_fragment_1	ee16e57e60d9d277004a91646389a791	37da7c9abdca364f5c9da25f219b969d	872	0.0	1
15	GCA_012393465.1_2_fragment_23	ee16e57e60d9d277004a91646389a791	b1225283c2da165c577e7ccd0e79d2a6	1075	0.0	1
16	GCA_001034065.1_1_fragment_6	ee16e57e60d9d277004a91646389a791	0a282a9d579bdfffb2b7dfff60187376	1329	0.0	1
17	GCA_012393465.1_2_fragment_10	ee16e57e60d9d277004a91646389a791	dc4e1fb9ecf7f03c7493befd496a29a3	935	0.0	1
18	GCA_035284545.1_4_fragment_1,GCA_035284605.1_4_fragment_1	ee16e57e60d9d277004a91646389a791	9af308d35dbe844da7800ee9f7ca7a53	1287	0.0	1
19	GCA_035284605.1_3_fragment_1	ee16e57e60d9d277004a91646389a791	3d3771dc65a326390873acce2fe7f2a4	476	0.0	1
20	GCA_035284545.1_2_fragment_3	ee16e57e60d9d277004a91646389a791	a07ef05b7c01a01408ca73d26111c7aa	491	0.0	1
21	GCA_012393465.1_2_fragment_9	ee16e57e60d9d277004a91646389a791	58e80f541a8f36f51ca48f7b1e018e91	1269	0.0	1
22	GCA_012393465.1_2_fragment_24	ee16e57e60d9d277004a91646389a791	fbe276c7d546c7a89946a6ea42d222ac	1001	0.0	1
23	GCA_012393465.1_1_fragment_2	ee16e57e60d9d277004a91646389a791	c9eb04989af1a002734308fb8fefcbd1	496	0.0	1
24	GCA_001034065.1_6	ee16e57e60d9d277004a91646389a791	7cb6e1dabc1131bdd2fe7831a697e5c7	496	0.0	1
25	GCA_901538955.1_49_fragment_1	20e2e413f24b6e8e199c7484208d9e52	6886f23687b1f85843d5bc3d3dedff73	225	0.0	1
26	GCA_901538955.1_24_fragment_1	20e2e413f24b6e8e199c7484208d9e52	0f206e43e4c82f941dbd8526bec0616b	390	0.0	1
27	GCA_039573485.1_1_fragment_1	2562df8892c8b19b04f7ddc477fe8e79	0b749566bd713d39624ab674e79604ed	225	0.0	1
28	GCA_039573485.1_1_fragment_6	2562df8892c8b19b04f7ddc477fe8e79	4375dbaf7fc878afe1288bc98220bd8b	1009	0.0	1
29	GCA_021262845.1_18_fragment_1	54d59abb26e0c1acfcc5278e563b1c78	a441a9868f056d4298ea73cfa4348f19	982	0.0	1
30	GCA_017596935.1_47	7a84a50f48760eb4a94acca0dd64cfdc	647c0b53f4fafce3157357cfe27c168b	1269	0.0	1
31	GCA_017596935.1_24	7a84a50f48760eb4a94acca0dd64cfdc	8b9a535eefeca9c7e8da83fd7d7546c8	225	0.0	1
32	GCA_037414875.1_407	536d0124e00a04e1506439eb1ef87094	b92411893f1e87ab86cc1b307898097c	1171	0.0	1
33	GCA_041861465.1_1_fragment_5	536d0124e00a04e1506439eb1ef87094	e873242b4f565f95120aa05a67809104	225	0.0	1
34	GCA_037414875.1_94	536d0124e00a04e1506439eb1ef87094	f5ad3162f90fcccafc2265da0c472ed2	223	0.0	1
35	GCA_900509125.1_13_fragment_1	38035fa28413094d1be81d94b82b7c64	885eecae847d4398547574752f1a3b01	225	0.0	1
36	GCA_002775495.1_77_fragment_1	38035fa28413094d1be81d94b82b7c64	0afb1d955809fd101fd59488bfb37414	1269	0.0	1
37	GCA_034721755.1_8_fragment_1	38035fa28413094d1be81d94b82b7c64	84ecb21af6de9ff60c464e408154297b	1374	0.0	1
38	GCA_034721755.1_3_fragment_2	38035fa28413094d1be81d94b82b7c64	1c409b2b2a55369974db71eb5c5c1b54	1064	0.0	1
39	GCA_027891015.1_45_fragment_1	bba4dc5e451c6e6d75e264a7fe900fe6	197f689ad9148f64630b2c4685a601db	842	0.0	1
40	GCA_024361705.1_31_fragment_1	d460bba573bd468de812c4dc067b2fd4	1b563a0f2d1c4be964eaa41ea69e04a6	1073	0.0	1
41	GCA_025657335.1_67_fragment_2	d460bba573bd468de812c4dc067b2fd4	1c539441ab9af9b8502d1a084ab84b0a	604	0.0	1
42	GCA_024361705.1_21_fragment_1	d460bba573bd468de812c4dc067b2fd4	d4ad375c395f656e46a2644e8d8aa5cc	1008	0.0	1
43	GCA_030845655.1_1_fragment_4	e7f013395e85a18a3846cd872c6eb711	4bd6f82c641cf7097c0513158cef913a	982	0.0	1
44	GCA_030845655.1_1_fragment_1	e7f013395e85a18a3846cd872c6eb711	55b1eb1b6ce88f0dd5e429aea3ca68d6	359	0.0	1
45	GCA_030845655.1_1_fragment_7	e7f013395e85a18a3846cd872c6eb711	4f4b0f34fb5c3844c98f7e6db937fdec	250	0.0	1
46	GCA_000821925.1_45	b5822b84cf8498dadb5f42328398175a	2426d7db4c7fe2de02942bb663981610	502	0.0	1
47	GCA_003253875.1_36,GCA_003583145.1_161,GCA_900511075.1_58,GCA_900511295.1_60,GCA_900511655.1_33,GCA_900515505.1_60	b5822b84cf8498dadb5f42328398175a	4752e6fb0a36083cd1fef61b1e8f1f5b	748	0.0	1
48	GCA_021136655.1_45_fragment_1	b5822b84cf8498dadb5f42328398175a	5e677495612868c592c53d3921f5887c	213	0.0	1
49	GCA_900506855.1_44_fragment_1,GCA_900506915.1_57_fragment_2,GCA_900507065.1_26_fragment_2,GCA_900507885.1_48_fragment_1,GCA_900515505.1_42_fragment_2,GCA_900516655.1_26_fragment_2	b5822b84cf8498dadb5f42328398175a	813234060886589f0d3c0977a584ec72	1247	0.0	1
50	GCA_900506545.1_338_fragment_1	b5822b84cf8498dadb5f42328398175a	dd5796169172d0f9074fdfb8b6b585e4	831	0.0	1
